year,month,day,dog_name,weight,std
2021,10,01,simone,9.06,NA
2021,10,08,raisin,17.12,NA
2021,10,08,simone,8.81,NA
2021,10,11,raisin,17.31,NA
2021,10,11,simone,8.81,NA
2021,10,18,raisin,17.19,NA
2021,10,18,simone,8.44,NA
2021,10,21,raisin,17.12,NA
2021,10,21,simone,8.5,NA
2021,10,28,raisin,17.25,NA
2021,10,28,simone,8.5,NA
2021,11,01,raisin,17.38,NA
2021,11,01,simone,8.38,NA
2021,11,07,raisin,17,NA
2021,11,07,simone,8.38,NA
2021,11,12,raisin,16.81,NA
2021,11,12,simone,8.5,NA
2021,11,16,raisin,17.12,NA
2021,11,16,simone,8.25,NA
2021,11,21,raisin,16.81,NA
2021,11,21,simone,8.25,NA
2021,11,24,raisin,16.75,NA
2021,11,24,simone,8.12,NA
2021,12,01,raisin,16.62,NA
2021,12,01,simone,8.12,NA
2021,12,03,raisin,16.5,NA
2021,12,03,simone,8.12,NA
2021,12,10,raisin,16.88,NA
2021,12,10,simone,8.19,NA
2021,12,13,raisin,16.5,NA
2021,12,13,simone,8.25,NA
2021,12,17,raisin,16.56,NA
2021,12,17,simone,7.88,NA
2022,01,17,raisin,17.5,NA
2022,01,17,simone,7.69,NA
2022,01,19,raisin,17.38,NA
2022,01,19,simone,7.75,NA
2022,01,21,raisin,17.81,NA
2022,01,21,simone,7.94,NA
2022,01,24,raisin,17.62,NA
2022,01,24,simone,7.75,NA
2022,01,26,raisin,17.62,NA
2022,01,26,simone,8,NA
2022,01,29,raisin,17.56,NA
2022,01,29,simone,7.75,NA
2022,01,31,raisin,17.5,NA
2022,01,31,simone,7.75,NA
2022,02,03,raisin,17.06,NA
2022,02,03,simone,7.69,NA
2022,02,05,raisin,17.19,NA
2022,02,05,simone,7.75,NA
2022,02,09,raisin,17.44,NA
2022,02,09,simone,8,NA
2022,02,11,raisin,17.31,NA
2022,02,11,simone,8.06,NA
2022,02,21,raisin,17.81,NA
2022,02,21,simone,7.5,NA
2022,02,23,raisin,17.81,NA
2022,02,23,simone,7.75,NA
2022,02,26,raisin,17.5,NA
2022,02,26,simone,7.88,NA
2022,03,08,raisin,18.19,NA
2022,03,08,simone,7.62,NA
2022,03,10,raisin,17.81,NA
2022,03,10,simone,7.75,NA
2022,03,15,raisin,17.5,NA
2022,03,15,simone,7.69,NA
2022,03,16,raisin,17.31,NA
2022,03,16,simone,7.75,NA
2022,03,18,raisin,17.31,NA
2022,03,18,simone,7.62,NA
2022,03,21,raisin,17.38,NA
2022,03,21,simone,7.69,NA
2022,04,02,raisin,17.94,NA
2022,04,02,simone,7.94,NA
2022,04,04,raisin,17.69,NA
2022,04,04,simone,7.81,NA
2022,04,06,raisin,17.69,NA
2022,04,06,simone,7.75,NA
2022,04,08,raisin,17.69,NA
2022,04,08,simone,7.38,NA
